dataset,operand_bits,family,modulus_entropy_bits,accuracy_mean,accuracy_std,accuracy_delta_mean,wrap_rate_mean,runtime_ms_mean
moons,8,RNS,7.98299357469431,0.496,0.014000000000000012,-0.4713333333333333,0.9014509803921569,1.191719388589263
moons,8,RNS,11.996826528020659,0.5146666666666667,0.021385353243127285,-0.4526666666666666,0.39996078431372545,1.0629971822102864
moons,8,RNS,15.97716810314465,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,1.9607843137254903e-05,0.9897166552642981
moons,8,RNS,17.965936435881222,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.9871083311736584
moons,8,RNS,23.999999226077865,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.9568944262961546
moons,8,Z/2^12Z,12.0,0.506,0.02088061301782112,-0.4613333333333333,0.39956862745098043,0.6933749342958132
moons,8,Z/2^16Z,16.0,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,1.9607843137254903e-05,0.44501665979623795
moons,8,Z/2^18Z,18.0,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.34683615279694396
moons,8,Z/2^24Z,24.0,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.45417492898801964
moons,8,Z/2^8Z,8.0,0.48133333333333334,0.031895663237081824,-0.486,0.9,0.4180277232080698
moons,8,Z/3^10Z,15.849625007211563,0.9653333333333333,0.010263202878893762,-0.0020000000000000018,3.9215686274509805e-05,0.5003999918699265
moons,8,Z/3^11Z,17.43458750793272,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.39165558603902656
moons,8,Z/3^15Z,23.774437510817343,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.4629889503121376
moons,8,Z/3^5Z,7.924812503605781,0.48533333333333334,0.009018499505645804,-0.482,0.9042549019607843,0.44536939822137356
moons,8,Z/3^7Z,11.094737505048093,0.49,0.005291502622129186,-0.47733333333333333,0.5235490196078431,0.46609719283878803
moons,8,Z/5^10Z,23.219280948873624,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.48257500554124516
moons,8,Z/5^3Z,6.965784284662087,0.5,0.0,-0.4673333333333333,0.9373333333333332,0.427397262925903
moons,8,Z/5^5Z,11.609640474436812,0.486,0.013114877048604014,-0.48133333333333334,0.44945098039215686,0.48371941472093266
moons,8,Z/5^6Z,13.931568569324174,0.5906666666666667,0.04085747585611881,-0.37666666666666665,0.10564705882352941,0.5450721209247907
moons,8,Z/5^7Z,16.253496664211536,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.3765805313984553
moons,8,integer-wide-accumulator,,0.9659999999999999,0.010583005244258372,-0.0013333333333333346,0.0,0.4196194000542164
