dataset,method,bits_per_weight,accuracy_mean,accuracy_std,accuracy_delta_mean,weight_rmse_mean,total_bytes,conversion_ms_mean,runtime_ms_mean,primitive_weight_ops,incremental_plane_ops
moons,monna,7,0.9686666666666666,0.010066445913694357,0.0013333333333333346,0.014163647584563614,428,0.23062480613589287,0.0338131794705987,620,156
moons,monna,8,0.9673333333333334,0.008326663997864522,0.0,0.007310949180869557,468,0.23062480613589287,0.03450556735818585,757,137
moons,residual_binary,1,0.7906666666666666,0.06543189843901316,-0.17666666666666664,0.29364673879703257,188,0.17704154985646406,0.03433473175391555,320,320
moons,residual_binary,2,0.924,0.011135528725660053,-0.04333333333333326,0.17487493008728838,240,0.17704154985646406,0.04274306896453103,640,320
moons,residual_binary,3,0.9513333333333334,0.016772994167212132,-0.015999999999999976,0.1219739049196995,292,0.17704154985646406,0.039169436786323786,960,320
moons,residual_binary,4,0.9633333333333333,0.008082903768654752,-0.0040000000000000036,0.09319011213476426,344,0.17704154985646406,0.03419585215548674,1280,320
moons,residual_binary,5,0.9646666666666667,0.0050332229568471835,-0.002666666666666669,0.07936211659805115,396,0.17704154985646406,0.0337895859653751,1600,320
moons,residual_binary,6,0.9666666666666667,0.008082903768654783,-0.0006666666666666673,0.07022346631391178,448,0.17704154985646406,0.03335693618282676,1920,320
moons,residual_binary,7,0.968,0.008000000000000007,0.0006666666666666673,0.06522057964780914,500,0.17704154985646406,0.03432778175920248,2240,320
moons,residual_binary,8,0.9673333333333334,0.007023769168568484,0.0,0.061340745665427236,552,0.17704154985646406,0.034553483904649816,2560,320
